,title_ramowka,redactor,datetime
961,Muzyka do rana,,2022-01-02 00:00:00
962,De Cuba Su Musica,Jose Torres,2022-01-02 08:00:00
963,Zbiory prywatne,Maria Zamachowska,2022-01-02 10:00:00
964,Manniak po omacku,Wojciech Mann,2022-01-02 11:00:00
965,Raczek movie,Tomasz Raczek,2022-01-02 13:00:00
966,Wesoła warszawska fala,Jan Emil Młynarski,2022-01-02 14:00:00
967,Pora siesty,Marcin Kydryński,2022-01-02 15:00:00
968,W głębi duszy,Eliza Michalik,2022-01-02 17:00:00
969,Nie tylko hip-hop,Mateusz Andruszkiewicz,2022-01-02 18:00:00
970,Czytał Michał Nogaś,Michał Nogaś,2022-01-02 19:00:00
971,Piosennik,Andrzej Poniedzielski,2022-01-02 20:00:00
972,Dobrze nastrojone po polsku,Marcelina Słomian,2022-01-02 22:00:00
973,Osobiste wycieczki,Maciej Grzenkowicz,2022-01-02 23:00:00
974,Muzyka do rana,,2022-01-03 00:00:00
975,Nowy świt,Maciej Orłoś,2022-01-03 06:00:00
976,Cafe de Paris,Agnieszka Lipka-Barnett,2022-01-03 10:00:00
977,W środku dnia,Jan Niebudek,2022-01-03 11:00:00
978,Dziękuję za wypowiedź,Adam Nowak,2022-01-03 14:00:00
979,Nowy Świat po południu,Michał Porycki,2022-01-03 16:00:00
980,Strumień zdumień,Jan Chojnacki,2022-01-03 19:00:00
981,Punkt widzenia,Jerzy Sosnowski,2022-01-03 21:00:00
982,Muzyka bardzo poważna,Krzysztof Grabowski,2022-01-03 22:00:00
983,Nasze nocne granie,Mateusz Andruszkiewicz,2022-01-04 00:00:00
984,Nasze nocne granie,Adam Stasiak,2022-01-04 01:00:00
985,Muzyka do rana,,2022-01-04 02:00:00
986,Nowy świt,Katarzyna Kasia,2022-01-04 06:00:00
987,Motyw przewodni,Mateusz Kuśmierek,2022-01-04 10:00:00
988,W środku dnia,Jan Niebudek,2022-01-04 11:00:00
989,Personal bigos,Marcin Mann,2022-01-04 14:00:00
990,Klimaty na raty,Jan Janczy,2022-01-04 15:00:00
991,Nowy Świat po południu,Michał Porycki,2022-01-04 16:00:00
992,Wagle,"Wojciech Waglewski, Fisz",2022-01-04 19:00:00
993,Punkt widzenia,Beata Grabarczyk,2022-01-04 21:00:00
994,90/h,Bartek Winczewski,2022-01-04 22:00:00
995,Muzyka do rana,,2022-01-05 00:00:00
996,Nowy świt,Agnieszka Lipka-Barnett,2022-01-05 06:00:00
997,Wszystko gra,Maciej Jankowski,2022-01-05 10:00:00
998,W środku dnia,Jan Niebudek,2022-01-05 11:00:00
999,Dzieci bluesa,Jan Chojnacki ,2022-01-05 14:00:00
1000,Nowy Świat po południu,Michał Porycki,2022-01-05 16:00:00
1001,Badafonia,Kuba Badach,2022-01-05 19:00:00
1002,Słowo daję,Jarosław Mikołajewski,2022-01-05 21:00:00
1003,Muzyka do czytania,Michał Nogaś,2022-01-05 22:00:00
1004,Nasze nocne granie,Adrianna Calińska-Czaniecka,2022-01-06 00:00:00
1005,Nasze nocne granie,Bartek Winczewski,2022-01-06 01:00:00
1006,Muzyka do rana,,2022-01-06 02:00:00
1007,Nowy świt,"Grzegorz Markowski, Katarzyna Kasia",2022-01-06 07:00:00
1008,Numer na bis,Maria Zamachowska,2022-01-06 10:00:00
1009,W środku dnia,Jan Niebudek,2022-01-06 11:00:00
1010,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2022-01-06 14:00:00
1011,Nowy Świat po południu,Michał Porycki,2022-01-06 16:00:00
1012,Napiór w eterze,Marek Napiórkowski,2022-01-06 19:00:00
1013,Punkt widzenia,Beata Grabarczyk,2022-01-06 21:00:00
1014,Nocny świat,Mikołaj Kierski,2022-01-06 22:00:00
1015,Sejsmograf,Kinga Krasuska,2022-01-06 23:00:00
1016,Muzyka do rana,,2022-01-07 00:00:00
1017,Poranna Manna,Wojciech Mann,2022-01-07 07:00:00
1018,Dobrze nastrojone,Marcelina Słomian,2022-01-07 10:00:00
1019,W środku dnia,Jan Niebudek,2022-01-07 11:00:00
1020,Sny kolorowe,Adam Stasiak,2022-01-07 13:00:00
1021,Świat nowej muzyki,Bartek Winczewski,2022-01-07 14:00:00
1022,Nowy Świat po południu,Michał Porycki,2022-01-07 16:00:00
1023,Muzyczny gabinet terapeutyczny,Monika Borzym,2022-01-07 19:00:00
1024,RadioAktywni,Jacek Nizinkiewicz,2022-01-07 20:00:00
1025,Powidoki,Bruno Jasieński,2022-01-07 22:00:00
1026,U progu nocy,Kamil Wrona,2022-01-07 23:00:00
1027,Koncertowe granie,,2022-01-08 00:00:00
1028,Muzyka do rana,,2022-01-08 01:15:00
1029,Sobotni brzask,Maciej Jankowski,2022-01-08 07:00:00
1030,Koncert życzeń,,2022-01-08 10:00:00
1031,Deliberatorium,Beata Grabarczyk,2022-01-08 12:00:00
1032,Bon ton,Agnieszka Lipka-Barnett,2022-01-08 13:00:00
1033,Radiolokacja,"Barbara Gregorczyk, Maciej Grzenkowicz",2022-01-08 14:00:00
1034,Stulecie dziwów,Jerzy Sosnowski,2022-01-08 15:00:00
1035,Miłomuzomania,Kinga Krasuska,2022-01-08 16:00:00
1036,Mięta do (pop)kultury,Katarzyna Oklińska,2022-01-08 18:00:00
1037,Soulówka,Mikołaj Tyczyński,2022-01-08 19:00:00
1038,"Szczyt wszystkiego, czyli każda lista świata","Mateusz Andruszkiewicz, Marcin Mann",2022-01-08 20:00:00
1039,Domówka,Paweł Orlikowski,2022-01-08 22:00:00
1040,Muzyka do rana,,2022-01-09 00:00:00
1041,De Cuba Su Musica,Jose Torres,2022-01-09 08:00:00
1042,Zbiory prywatne,Maria Zamachowska ,2022-01-09 10:00:00
1043,Manniak po omacku,Wojciech Mann,2022-01-09 11:00:00
1044,Raczek movie,Tomasz Raczek,2022-01-09 13:00:00
1045,Wesoła warszawska fala,Jan Emil Młynarski,2022-01-09 14:00:00
1046,Pora siesty,Marcin Kydryński,2022-01-09 15:00:00
1047,W głębi duszy,Eliza Michalik,2022-01-09 17:00:00
1048,Nie tylko hip-hop,Mateusz Andruszkiewicz,2022-01-09 18:00:00
1049,Czytał Michał Nogaś,Michał Nogaś,2022-01-09 19:00:00
1050,Piosennik,Andrzej Poniedzielski,2022-01-09 20:00:00
1051,Dobrze nastrojone po polsku,Marcelina Słomian,2022-01-09 22:00:00
1052,Osobiste wycieczki,Maciej Grzenkowicz ,2022-01-09 23:00:00
1053,Muzyka do rana,,2022-01-10 00:00:00
1054,Nowy świt,Mateusz Andruszkiewicz,2022-01-10 06:00:00
1055,Cafe de Paris,Agnieszka Lipka-Barnett,2022-01-10 10:00:00
1056,W środku dnia,Jan Niebudek,2022-01-10 11:00:00
1057,Dziękuję za wypowiedź,Adam Nowak,2022-01-10 14:00:00
1058,Nowy Świat po południu,Michał Porycki,2022-01-10 16:00:00
1059,Strumień zdumień,Jan Chojnacki,2022-01-10 19:00:00
1060,Punkt widzenia,Jerzy Sosnowski,2022-01-10 21:00:00
1061,Muzyka bardzo poważna,Krzysztof Grabowski,2022-01-10 22:00:00
1062,Nasze nocne granie,Marcelina Słomian,2022-01-11 00:00:00
1063,Nasze nocne granie,Piotr Topoliński,2022-01-11 01:00:00
1064,Muzyka do rana,,2022-01-11 02:00:00
1065,Nowy świt,Katarzyna Kasia,2022-01-11 06:00:00
1066,Motyw przewodni,Mateusz Kuśmierek,2022-01-11 10:00:00
1067,W środku dnia,Mateusz Andruszkiewicz,2022-01-11 11:00:00
1068,Personal bigos,Marcin Mann,2022-01-11 14:00:00
1069,Klimaty na raty,Jan Janczy,2022-01-11 15:00:00
1070,Nowy Świat po południu,Michał Porycki,2022-01-11 16:00:00
1071,Wagle,Wojciech Waglewski,2022-01-11 19:00:00
1072,Punkt widzenia,Beata Grabarczyk,2022-01-11 21:00:00
1073,90/h,,2022-01-11 22:00:00
1074,Muzyka do rana,,2022-01-12 00:00:00
1075,Nowy świt,Mateusz Andruszkiewicz,2022-01-12 06:00:00
1076,Wszystko gra,Maciej Jankowski,2022-01-12 10:00:00
1077,W środku dnia,Jan Niebudek,2022-01-12 11:00:00
1078,Dzieci bluesa,Jan Chojnacki,2022-01-12 14:00:00
1079,Nowy Świat po południu,Michał Porycki,2022-01-12 16:00:00
1080,Badafonia,Kuba Badach,2022-01-12 19:00:00
1081,Słowo daję,Jarosław Mikołajewski,2022-01-12 21:00:00
1082,Muzyka do czytania,Michał Nogaś,2022-01-12 22:00:00
1083,Nasze nocne granie,,2022-01-13 00:00:00
1084,Nasze nocne granie,,2022-01-13 01:00:00
1085,Nowy świt,Katarzyna Kasia,2022-01-13 06:00:00
1086,Numer na bis,Maria Zamachowska,2022-01-13 10:00:00
1087,W środku dnia,Jan Niebudek,2022-01-13 11:00:00
1088,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2022-01-13 14:00:00
1089,Nowy Świat po południu,Michał Porycki,2022-01-13 16:00:00
1090,Napiór w eterze,Marek Napiórkowski,2022-01-13 19:00:00
1091,Punkt widzenia,Beata Grabarczyk,2022-01-13 21:00:00
1092,Nocny świat,Mikołaj Kierski,2022-01-13 22:00:00
1093,Sejsmograf,Kinga Krasuska,2022-01-13 23:00:00
1094,Muzyka do rana,,2022-01-14 00:00:00
1095,Poranna Manna,Wojciech Mann,2022-01-14 06:00:00
1096,Dobrze nastrojone,Marcelina Słomian,2022-01-14 10:00:00
1097,W środku dnia,Jan Niebudek,2022-01-14 11:00:00
1098,Sny kolorowe,,2022-01-14 13:00:00
1099,Świat nowej muzyki,Bartek Winczewski,2022-01-14 14:00:00
1100,Nowy Świat po południu,Michał Porycki,2022-01-14 16:00:00
