,title_ramowka,redactor,datetime
0,Muzyka do rana,,2020-07-10 00:00:00
1,Poranna Manna,Wojciech Mann,2020-07-10 06:00:00
2,W środku dnia,Michał Nogaś,2020-07-10 10:00:00
3,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2020-07-10 14:00:00
4,Świat nowej muzyki,Bartek Winczewski,2020-07-10 15:00:00
5,Nowy Świat po południu,Michał Porycki,2020-07-10 16:00:00
6,Koncert w Nowym Świecie,Jan Chojnacki ,2020-07-10 19:00:00
7,Muzyka do rana,,2020-07-11 00:00:00
8,De Cuba Su Musica,Jose Torres,2020-07-11 10:00:00
9,Deliberatorium,Beata Grabarczyk,2020-07-11 12:00:00
10,Nie tylko hip-hop,Mateusz Andruszkiewicz,2020-07-11 13:00:00
11,Stulecie dziwów,Jerzy Sosnowski,2020-07-11 15:00:00
12,Miłomuzomania,Kinga Krasuska,2020-07-11 16:00:00
13,Jej historia,Katarzyna Zacharska ,2020-07-11 19:00:00
14,Próbny lot,,2020-07-11 19:00:00
15,Dźwiękowe kontro-wersje,Krzysztof Łuszczewski,2020-07-11 20:00:00
16,Muzyka do rana,,2020-07-11 22:00:00
17,Muzyka do rana,,2020-07-12 00:00:00
18,Bez kolejki,Wojciech Mann,2020-07-12 10:00:00
19,Raczek movie,Tomasz Raczek,2020-07-12 13:00:00
20,Wesoła warszawska fala,Jan Emil Młynarski,2020-07-12 14:00:00
21,Pora siesty,Marcin Kydryński,2020-07-12 15:00:00
22,W głębi duszy,Eliza Michalik ,2020-07-12 17:00:00
23,Próbny lot,,2020-07-12 18:00:00
24,Czytał Michał Nogaś,Michał Nogaś,2020-07-12 19:00:00
25,Piosennik,Andrzej Poniedzielski,2020-07-12 20:00:00
26,Muzyka do rana,,2020-07-12 22:00:00
27,Muzyka do rana,,2020-07-13 00:00:00
28,Nowy świt,Beata Grabarczyk,2020-07-13 06:00:00
29,Próbny lot,,2020-07-13 10:00:00
30,W środku dnia,Mateusz Andruszkiewicz,2020-07-13 11:00:00
31,Muzyka bardzo poważna,Krzysztof Grabowski,2020-07-13 14:00:00
32,Nowy Świat po południu,Michał Porycki,2020-07-13 16:00:00
33,Strumień zdumień,Jan Chojnacki,2020-07-13 19:00:00
34,Punkt widzenia,Jerzy Sosnowski,2020-07-13 21:00:00
35,Muzyka do rana,,2020-07-13 22:00:00
36,Muzyka do rana,,2020-07-14 00:00:00
37,Nowy świt,"Katarzyna Kasia, Grzegorz Markowski",2020-07-14 06:00:00
38,Próbny lot,,2020-07-14 10:00:00
39,W środku dnia,Maciej Jankowski,2020-07-14 11:00:00
40,Mała kawa,Wojciech Mann,2020-07-14 14:00:00
41,Nowy Świat po południu,Michał Porycki,2020-07-14 16:00:00
42,Wagle,"Wojciech Waglewski, Fisz",2020-07-14 19:00:00
43,Punkt widzenia,Beata Grabarczyk,2020-07-14 21:00:00
44,Muzyka do rana,,2020-07-14 22:00:00
45,Muzyka do rana,,2020-07-15 00:00:00
46,Nowy świt,Beata Grabarczyk,2020-07-15 06:00:00
47,Próbny lot,,2020-07-15 10:00:00
48,W środku dnia,Maciej Jankowski,2020-07-15 11:00:00
49,Dzieci bluesa,Jan Chojnacki,2020-07-15 14:00:00
50,Nowy Świat po południu,Michał Porycki,2020-07-15 16:00:00
51,Badafonia,Kuba Badach,2020-07-15 19:00:00
52,Punkt widzenia,Marek Kacprzak,2020-07-15 21:00:00
53,Muzyka do rana,,2020-07-15 22:00:00
54,Muzyka do rana,,2020-07-16 00:00:00
